[[0, 0, 0], 2, 8, 0.2822292792700155]
[[0, 0, 0], 2, 9, 1.0788139952266425]
[[0, 0, 0], 2, 10, -0.8100714759165567]
[[0, 0, 0], 3, 5, -1.074753548304031]
[[0, 0, 0], 3, 6, 0.43304995580598715]
[[0, 0, 0], 3, 7, -0.1629517369459752]
[[0, 0, 0], 3, 8, -1.074753548304031]
[[0, 0, 0], 3, 9, 0.43304995580598715]
[[0, 0, 0], 3, 10, 0.1629517369459752]
[[0, 0, 0], 4, 5, -0.8079377806487396]
[[0, 0, 0], 4, 6, -1.0747437057504972]
[[0, 0, 0], 4, 7, -0.2822292792700154]
[[0, 0, 0], 4, 8, -0.8079377806487396]
[[0, 0, 0], 4, 9, -1.0747437057504972]
[[0, 0, 0], 4, 10, 0.2822292792700154]
[[0, 0, 0], 5, 8, 0.278]
[[0, 0, 0], 5, 9, 0.0]
[[0, 0, 0], 5, 10, -0.0]
[[0, 0, 0], 6, 8, 0.0]
[[0, 0, 0], 6, 9, 0.278]
[[0, 0, 0], 6, 10, -0.0]
[[0, 0, 0], 7, 8, -0.0]
[[0, 0, 0], 7, 9, -0.0]
[[0, 0, 0], 7, 10, 0.696]
[[0, 0, 0], 11, 16, 0.4309249698536848]
[[0, 0, 0], 11, 17, 0.24878961901989924]
[[0, 0, 0], 11, 18, -1.1537800994792047]
[[0, 0, 0], 11, 19, 0.4309249698536848]
[[0, 0, 0], 11, 20, 0.24878961901989924]
[[0, 0, 0], 11, 21, 1.1537800994792047]
[[0, 0, 0], 12, 16, -1.4047174691185929]
[[0, 0, 0], 12, 17, -0.2822292792700155]
[[0, 0, 0], 12, 18, -1.4031133120178594]
[[0, 0, 0], 12, 19, 1.4047174691185929]
[[0, 0, 0], 12, 20, 0.2822292792700155]
[[0, 0, 0], 12, 21, -1.4031133120178594]
[[0, 0, 0], 13, 16, -0.2822292792700155]
[[0, 0, 0], 13, 17, -1.0788139952266425]
[[0, 0, 0], 13, 18, -0.8100714759165567]
[[0, 0, 0], 13, 19, 0.2822292792700155]
[[0, 0, 0], 13, 20, 1.0788139952266425]
[[0, 0, 0], 13, 21, -0.8100714759165567]
[[0, 0, 0], 14, 16, -1.074753548304031]
[[0, 0, 0], 14, 17, 0.43304995580598715]
[[0, 0, 0], 14, 18, -0.1629517369459752]
[[0, 0, 0], 14, 19, -1.074753548304031]
[[0, 0, 0], 14, 20, 0.43304995580598715]
[[0, 0, 0], 14, 21, 0.1629517369459752]
[[0, 0, 0], 15, 16, -0.8079377806487396]
[[0, 0, 0], 15, 17, -1.0747437057504972]
[[0, 0, 0], 15, 18, -0.2822292792700154]
[[0, 0, 0], 15, 19, -0.8079377806487396]
[[0, 0, 0], 15, 20, -1.0747437057504972]
[[0, 0, 0], 15, 21, 0.2822292792700154]
[[0, 0, 0], 16, 19, 0.278]
[[0, 0, 0], 16, 20, 0.0]
[[0, 0, 0], 16, 21, -0.0]
[[0, 0, 0], 17, 19, 0.0]
[[0, 0, 0], 17, 20, 0.278]
[[0, 0, 0], 17, 21, -0.0]
[[0, 0, 0], 18, 19, -0.0]
[[0, 0, 0], 18, 20, -0.0]
[[0, 0, 0], 18, 21, 0.696]
[[0, 0, 0], 0, 12, -0.06495190528383289]
[[0, 0, 0], 0, 13, 0.0]
[[0, 0, 0], 1, 2, -0.0]
[[0, 0, 0], 1, 11, 0.06495190528383289]
[[0, 0, 0], 1, 14, -0.037500000000000006]
[[0, 0, 0], 1, 15, 0.0]
[[0, 0, 0], 2, 11, -0.0]
[[0, 0, 0], 2, 14, -0.0]
[[0, 0, 0], 2, 15, -0.037500000000000006]
[[0, 0, 0], 3, 4, -0.0]
[[0, 0, 0], 3, 12, 0.037500000000000006]
[[0, 0, 0], 3, 13, 0.0]
[[0, 0, 0], 4, 12, -0.0]
[[0, 0, 0], 4, 13, 0.037500000000000006]
[[0, 0, 0], 5, 6, -0.0]
[[0, 0, 0], 5, 18, 0.026000000000000006]
[[0, 0, 0], 6, 18, -0.0]
[[0, 0, 0], 7, 16, -0.026000000000000006]
[[0, 0, 0], 7, 17, 0.0]
[[0, 0, 0], 8, 9, -0.0]
[[0, 0, 0], 8, 21, 0.026000000000000006]
[[0, 0, 0], 9, 21, -0.0]
[[0, 0, 0], 10, 19, -0.026000000000000006]
[[0, 0, 0], 10, 20, 0.0]
[[0, 0, 0], 12, 13, 0.0]
[[0, 0, 0], 14, 15, 0.0]
[[0, 0, 0], 16, 17, 0.0]
[[0, 0, 0], 19, 20, 0.0]
[[0, 1, 0], 0, 0, -0.5647499999999998]
[[0, 1, 0], 1, 0, -0.0]
[[0, 1, 0], 2, 0, 0.0]
[[0, 1, 0], 3, 0, -0.10630471923904489]
[[0, 1, 0], 4, 0, -0.18412494173117283]
[[0, 1, 0], 0, 1, -0.0]
[[0, 1, 0], 1, 1, -0.45099999145549297]
[[0, 1, 0], 2, 1, 0.015588452334943395]
[[0, 1, 0], 3, 1, -0.0]
[[0, 1, 0], 4, 1, -0.0]
[[0, 1, 0], 0, 2, 0.0]
[[0, 1, 0], 1, 2, 0.015588452334943395]
[[0, 1, 0], 2, 2, -0.4690000085445068]
[[0, 1, 0], 3, 2, 0.0]
[[0, 1, 0], 4, 2, 0.0]
[[0, 1, 0], 0, 3, -0.10630471923904489]
[[0, 1, 0], 1, 3, -0.0]
[[0, 1, 0], 2, 3, 0.0]
[[0, 1, 0], 3, 3, -0.5610626577174315]
[[0, 1, 0], 4, 3, -0.14386856126177622]
[[0, 1, 0], 0, 4, -0.18412494173117283]
[[0, 1, 0], 1, 4, -0.0]
[[0, 1, 0], 2, 4, 0.0]
[[0, 1, 0], 3, 4, -0.14386856126177622]
[[0, 1, 0], 4, 4, -0.7271873422825682]
[[0, 1, 0], 5, 5, 0.3824999007887808]
[[0, 1, 0], 6, 5, -0.18099925211128728]
[[0, 1, 0], 7, 5, -0.0]
[[0, 1, 0], 5, 6, -0.18099925211128728]
[[0, 1, 0], 6, 6, 0.591500099211219]
[[0, 1, 0], 7, 6, 0.0]
[[0, 1, 0], 5, 7, -0.0]
